"time","postId","url","likes","comments","shares","mediaCount","text"
"2026-05-16T04:05:06.000Z","3471717709670266","https://www.facebook.com/thuy.duong.40234/posts/pfbid0nLtvSSPP5veKMEj7ibAzsCPkSHNZUQUZbxNgmcbWeZfNrKQKxZpjecCc62vtBo64l","13","3","1","1","📌 FPT – Nhu cầu chuyển đổi AI tiếp tục là động lực tăng trưởng chính 🎯 Giá mục tiêu 12 tháng: 101.600đ/cp 🚀 Upside kỳ vọng: +44% 4T2026, FPT ghi nhận doanh thu 17,2 nghìn tỷ (+12% YoY), NPATMI đạt 3,4 nghìn tỷ (+16% YoY), riêng tháng 4 tăng trưởng lợi nhuận quay lại mức trên 20% YoY. 💡 Điểm nhấn đáng chú ý: • Doanh thu chuyển đổi số tăng +25% YoY, riêng tháng 4 tăng mạnh +46% • Mảng AI/Data Analytics tăng trưởng tới +83% YoY nhờ nhu cầu AI từ khách hàng toàn cầu • Giá trị hợp đồng ký mới gần 20 nghìn tỷ (+30% YoY), cho thấy đà phục hồi tiếp tục mạnh lên • Thị trường Nhật Bản vẫn là đầu tàu tăng trưởng với doanh thu +23% YoY, chiếm 47% doanh thu CNTT nước ngoài • CNTT trong nước tăng tốc mạnh nhờ các hợp đồng khu vực công và doanh nghiệp tư nhân 📈 FPT hiện giao dịch quanh P/E trailing ~12x, thấp hơn đáng kể so với mức trung bình các công ty công nghệ toàn cầu ~17x. FPT không chỉ là câu chuyện xuất khẩu phần mềm, mà đang dần trở thành doanh nghiệp hưởng lợi trực tiếp từ làn sóng AI & chuyển đổi số toàn cầu. - SSI Research - ThuyDuongInvest TH Room cộng đồng chứng khoán dưới phần bình luận"
"2026-05-15T05:52:10.000Z","3470693656439338","https://www.facebook.com/thuy.duong.40234/posts/pfbid0tx1FKPzmovBQ4ejVSiNigds4ZKHn1Vb4A3EgFB54WrvvP1s1hLCXP5prYU4yA3Qml","97","11","1","1","Chúc mừng Sếp Toàn Xù đã giành được giải thưởng danh giá nhất công ty 🎉🎊🍻🥂🍾🙌"
"2026-05-09T01:17:25.000Z","3463896163785754","https://www.facebook.com/thuy.duong.40234/posts/pfbid02gWtZBxakMKSHpLtcV2K24PQ938e48xkKnquYs9e16m6LvpgSdJLZHQoDuPf5hmQUl","110","31","3","1","Một chút “quả ngọt” sau hành trình nỗ lực 🌱❤️ Cảm thấy biết ơn khi được nhận ESOP tại SSI — không chỉ là cổ phiếu, mà còn là sự ghi nhận cho quá trình cố gắng, tinh thần gắn bó và những giá trị mình đang cùng tập thể xây dựng mỗi ngày. 10 năm với nghề tư vấn đầu tư, điều mình trân trọng nhất vẫn là được đồng hành cùng khách hàng, cùng team và lớn lên cùng thị trường. Cảm ơn SSI vì luôn tạo động lực để mỗi người không ngừng phát triển 🚀📈"
"2026-04-20T10:09:36.000Z","3443589005816470","https://www.facebook.com/thuy.duong.40234/posts/pfbid0aY9aFiCUD6GZv4a3MiHGX9zVfpVW8BiVnBmK9RrZqYuzZ332acNSmLUM95D6H64pl","3",,"1","3","SSI vừa công bố KQKD Quý I/2026: LNTT hợp nhất 1.593 tỷ đồng – quán quân lợi nhuận trong nhóm công ty chứng khoán. Đây là một quý mở màn mạnh mẽ và là động lực để chúng ta giữ nhịp, nâng chuẩn và bứt tốc ở các quý tiếp theo.🚀💪"
"2026-04-18T07:06:37.000Z","3441350012707036","https://www.facebook.com/thuy.duong.40234/posts/pfbid024KKpmfoYSpq3D6rhscFUnbJvkRrEgkYHNdzkni7L8Ln4cdAKQ21wA8rxf4H95WCYl","74","13","2","1","🔥 TÌM KIẾM CHIẾN THẦN LIVESTREAM CHỨNG KHOÁN HỘI SỞ 09 SSI🔥 Bạn không cần là người giỏi nhất… Nhưng phải là người dám lên sóng – dám nói – dám chốt deal. 🏆 Cơ cấu giải thưởng hàng tháng: 🥇 Giải Nhất: 3.000.000 VNĐ 🥈 Giải Nhì: 1.500.000 VNĐ 🥉 Giải Ba: 500.000 VNĐ 💰 Ngoài ra còn có Quyền lợi cực “chiến”: * Hoa hồng lên tới 65% trên tệp khách hàng khai thác được. * Cơ hội trở thành nhân sự chính thức tại SSI * Môi trường thực chiến – tăng tốc cực nhanh 🚀 Đây không phải cuộc chơi cho người đứng ngoài. Đây là sân chơi cho người muốn bứt tốc thu nhập & xây thương hiệu cá nhân. 📩 Liên hệ ngay: Ms. Thùy Dương – 0933 15 3333"
"2026-04-17T11:21:44.000Z","3440504099458294","https://www.facebook.com/thuy.duong.40234/posts/pfbid02F3iMNg39E3ATb9XV8SSGRWbnP7Zo6RCzXEi5o4qFBwHxWudEpJqjqPFSPi3E7tNWl","15",,"3","1","🚀 Lộ trình thăng tiến rõ ràng – đi nhanh, đi xa cùng đội ngũ mạnh 💰 Chính sách thu nhập & cơ chế đãi ngộ hấp dẫn bậc nhất tại SSI Cơ hội không chờ đợi ai. Anh em sẵn sàng bứt phá – Mại zô 🔥"
"2026-04-17T01:21:56.000Z","3440080512833986","https://www.facebook.com/reel/2212170559320630/","60","9","0","1","Cổ đông VIC là người hạnh phúc nhất 2 năm nay #vic #Vingroup #stockmarket #DauTuSinhLoi"
"2026-04-15T11:11:42.000Z","3438319926343378","https://www.facebook.com/thuy.duong.40234/posts/pfbid03ErhqjMX1bnxZHHrxksKJ7Rwg9MzMVCMv25sGWBHdo7zh1BFB9VMPA2fa3DHAg7Ml","12","5","1","1","🔥 MỜI ACE SALES 3 MIỀN – ĐA NGÀNH CÙNG CỘNG TÁC 🔥 Cơ hội mở cho tất cả anh/chị/em sales trên toàn quốc – không giới hạn lĩnh vực 💼 💰 Hoa hồng lên tới 70% – xứng đáng với năng lực 🚀 Mô hình linh hoạt – dễ bắt nhịp, dễ scale 🤝 Có hệ thống hỗ trợ – không làm một mình 📈 Phù hợp cả full-time & part-time 👉 Dành cho: – Sales muốn bứt phá thu nhập – Người có sẵn tệp khách hàng – Anh em muốn thêm 1 nguồn thu chất lượng 📩 Inbox ngay để vào hệ thống sớm – đi trước, lợi thế trước! @highlight"
"2026-04-12T03:50:00.000Z","3434801540028550","https://www.facebook.com/thuy.duong.40234/posts/pfbid02doxL6j2cHPC5i8bjzvYtcEVuBG7Cx97XJ4mLkQ55mkj9hyTSqQZnFaNbDQN8Pqzdl","50","9","1","1","Nói Anh con 8 tuổi đi học bài. Ảnh bảo con muốn học đầu tư chứng khoán Mấy tuổi thì bắt đầu bày ảnh đầu tư chứng khoán được các Bác???"
"2026-04-10T11:29:30.000Z","3432985536876817","https://www.facebook.com/thuy.duong.40234/posts/pfbid02dpcLPwZFrZSHgmP2Hyf2HMhpXsTbofQhoMY9BoGqfgzzshTSoYz7LzRFZcygaS91l","61","13","2","6","Top 2 phòng – Top 6 cá nhân cùng nhiều thành tích nổi bật 💪 Top 1 -Top 2 - Top 3 💚💜💚💜 của Anh Em trong Team. Phòng TVCK 09 vẫn đang mở rộng team, chào đón Anh Em cùng đồng hành – cùng phát triển – cùng gia tăng tài sản 🚀 Đặc biệt, mô hình hệ thống mới đang giúp khếch đại thu nhập, tối ưu hiệu quả làm việc cho từng thành viên. Anh Em nào muốn đi nhanh – đi xa – đi cùng team mạnh thì về chung một nhà nhé 🔥"
